vendor,invoice_no,date,location,item_no,description,category,qty,uom,pack_size,unit_price,extended_price
Sysco,90001,2026-05-05,Lake Nona,7008537,BTRBALL BACON TURKEY LAYFLT,MEAT PLTRY,2,CS,CS,45.01,90.02
Sysco,90001,2026-05-05,Lake Nona,1948559,HORMEL BACON APPLEWOOD SMKD,MEAT PLTRY,5,CS,CS,52.28,261.4
Sysco,90001,2026-05-05,Lake Nona,6414544,CHEESE CHEDDAR SHRD FCY,DAIRY,2,CS,CS,58.35,116.7
Sysco,90001,2026-05-05,Lake Nona,6946152,PIERCE CHICKEN TNDR FRTR RAW,MEAT PLTRY,6,CS,CS,29.82,178.92
Sysco,90001,2026-05-05,Lake Nona,5583321,SYS PANCAKE & WAFFLE MIX,GROCERY,2,CS,CS,24.62,49.24
Sysco,90001,2026-05-05,Lake Nona,8812234,SYRUP MAPLE FLVR JUG,GROCERY,1,CS,CS,31.41,31.41
Sysco,90001,2026-05-05,Lake Nona,7141200,HAM PIT SMKD B/I SLCD,MEAT PLTRY,4,CS,CS,60.78,243.12
Sysco,90001,2026-05-05,Lake Nona,4676280,WHLFCLS MILK 2% GALLON,DAIRY,3,CS,CS,22.76,68.28
Sysco,90001,2026-05-05,Lake Nona,9077123,BREAD SOURDOUGH SLCD,BREAD,3,CS,CS,21.34,64.02
Sysco,90001,2026-05-05,Lake Nona,3390871,JUICE ORANGE 100% FRZN CONC,NA BEV,6,CS,CS,38.43,230.58
Sysco,90002,2026-05-03,Windermere,4537134,KEKE'S EGG SHELL XL WHT GR AA,DAIRY,4,CS,CS,29.49,117.96
Sysco,90002,2026-05-03,Windermere,1948559,HORMEL BACON APPLEWOOD SMKD,MEAT PLTRY,3,CS,CS,52.23,156.69
Sysco,90002,2026-05-03,Windermere,3029461,WHLFIMP BUTTER SALTED WHIP TUB,DAIRY,1,CS,CS,32.24,32.24
Sysco,90002,2026-05-03,Windermere,6414544,CHEESE CHEDDAR SHRD FCY,DAIRY,1,CS,CS,59.22,59.22
Sysco,90002,2026-05-03,Windermere,2210351,CHEESE AMER SLCD 160CT,DAIRY,4,CS,CS,47.7,190.8
Sysco,90002,2026-05-03,Windermere,6946152,PIERCE CHICKEN TNDR FRTR RAW,MEAT PLTRY,3,CS,CS,29.86,89.58
Sysco,90002,2026-05-03,Windermere,8812234,SYRUP MAPLE FLVR JUG,GROCERY,6,CS,CS,31.66,189.96
Sysco,90002,2026-05-03,Windermere,7141200,HAM PIT SMKD B/I SLCD,MEAT PLTRY,5,CS,CS,61.38,306.9
Sysco,90002,2026-05-03,Windermere,4676280,WHLFCLS MILK 2% GALLON,DAIRY,2,CS,CS,22.94,45.88
Sysco,90002,2026-05-03,Windermere,9077123,BREAD SOURDOUGH SLCD,BREAD,6,CS,CS,21.61,129.66
Sysco,90002,2026-05-03,Windermere,3390871,JUICE ORANGE 100% FRZN CONC,NA BEV,3,CS,CS,37.99,113.97
