item,qty_sold,revenue,location
CHEESE OMELET,313,3594.3,Lake Nona
WESTERN OMELET,364,4955.08,Lake Nona
BACON & EGGS,359,4393.05,Lake Nona
PANCAKE STACK,540,5764.33,Lake Nona
FRENCH TOAST,604,6878.59,Lake Nona
FRESH FRUIT BOWL,510,4500.46,Lake Nona
CHICKEN & WAFFLES,275,4195.26,Lake Nona
BREAKFAST BLT,157,1985.97,Lake Nona
VEGGIE SKILLET,459,6076.26,Lake Nona
ORANGE JUICE LG,570,2767.48,Lake Nona
CHEESE OMELET,587,6545.4,Windermere
WESTERN OMELET,267,3616.76,Windermere
BACON & EGGS,278,3321.79,Windermere
PANCAKE STACK,391,4211.82,Windermere
FRENCH TOAST,527,5991.62,Windermere
FRESH FRUIT BOWL,456,4081.28,Windermere
CHICKEN & WAFFLES,666,10124.46,Windermere
BREAKFAST BLT,444,5702.99,Windermere
VEGGIE SKILLET,619,8195.01,Windermere
ORANGE JUICE LG,156,769.51,Windermere
CHEESE OMELET,360,4090.63,Cape Coral
WESTERN OMELET,414,5708.62,Cape Coral
BACON & EGGS,212,2561.24,Cape Coral
PANCAKE STACK,220,2400.42,Cape Coral
FRENCH TOAST,222,2508.21,Cape Coral
FRESH FRUIT BOWL,426,3818.64,Cape Coral
CHICKEN & WAFFLES,167,2534.4,Cape Coral
BREAKFAST BLT,177,2250.49,Cape Coral
VEGGIE SKILLET,503,6570.7,Cape Coral
ORANGE JUICE LG,370,1820.33,Cape Coral
